Date,Time Only,Box Temp Arduino (C),Box Temp (C),Ambient Temperature (C),Humidity (%),Wind (m/s),Dust (mg/m^3),Irradiance (W/m2),Surface Temp (C),Irradiance with Coating,Irradiance without Coating,Surface-Temp with Coating (ºC),Surface-Temp without Coating (ºC),Max Pow without coating,Max Power with Coating,Max Power Main
11/07/2019,4:37,22.101127,39.64044,37.93469137,39.67629237,2.816254516,0.000710527,20.39678941,23.717627,19.565533,37.531723,29.231453,27.648622,0,0.176282,0
11/07/2019,4:51,21.897415,39.538646,32.15440855,43.32539205,2.229572515,0.000482285,32.01504345,23.812439,31.054504,46.409564,29.519808,28.225332,0,0.398478,0.544433
11/07/2019,5:06,21.591848,39.233262,32.18300514,28.75542479,2.361489741,0,37.06284559,25.139806,18.129412,4.97964,31.346057,31.589475,0.122471,0.885457,0.501152
11/07/2019,5:21,21.489992,39.029673,33.55332882,33.70061175,1.375565436,0.001323178,31.01208557,27.510103,18.129412,36.052083,32.883951,31.205001,0.189844,1.287261,1.794744
11/07/2019,5:37,21.591848,38.826084,30.2860447,34.5354999,2.723799628,0,141.9997023,25.139806,46.851838,74.522727,30.480992,29.763226,0.230597,1.468721,4.541954
11/07/2019,5:52,21.489992,39.029673,35.74052019,35.3819292,1.324700627,0,206.6650473,27.889351,108.605055,155.902936,32.691714,31.493356,0.25689,1.563154,5.454598
11/07/2019,6:07,22.101127,39.742235,29.14984675,40.15853981,0.998727444,0.006405485,212.3137127,35.000243,87.063235,112.993371,40.092827,40.336245,0.775492,1.730658,14.312707
11/07/2019,6:22,21.999271,40.454796,32.1883829,26.87961701,2.39482653,0.003505028,280.4605467,37.086104,21.001654,189.934659,42.111313,41.585784,0.309474,2.477202,18.374317
11/07/2019,6:37,22.814117,41.065563,37.83353847,35.136702,2.504614984,0.002600674,388.0381367,33.672876,217.750276,275.753788,39.419999,43.315914,0.311446,2.658811,20.389737
11/07/2019,6:52,23.425252,41.778125,35.70706816,31.85282129,0.291167726,0.00143449,403.4207022,38.508283,230.675368,343.817235,44.225917,43.315914,2.164985,2.850319,26.914373
11/07/2019,7:06,23.832675,42.592481,39.96786756,37.37383479,0.950925391,0,433.5776105,42.016323,252.217188,296.46875,48.935716,48.506305,2.323405,3.234912,32.400621
11/07/2019,7:21,24.647521,43.101453,39.59870744,33.40470715,0.114328887,0.003709057,439.7269162,47.515413,266.578401,394.125,51.530912,46.295583,2.619956,3.346253,35.783663
11/07/2019,7:37,25.360511,44.017604,38.54488661,29.31941631,1.18366159,0.001640829,511.150412,47.705036,309.66204,448.871686,53.645516,50.813146,2.891985,3.694517,40.696086
